Which condition is caused by genetic abnormalities during the process of gastrulation:	Down syndrome	Sirenomelia	Spina bifida	Turner syndrome	Achondroplasia	B	<div><strong>Correct: B. Sirenomelia</strong></div><div>Sirenomelia (mermaid syndrome) results from severe disturbances of mesoderm formation during <strong>gastrulation</strong>, affecting caudal development.</div>	GENQUESTION EMBRYOLOGY Gastrulation
The axoneme is presented by:	9+0 arranged microtubules	9+3 arranged microtubules	9+2 arranged parallel microtubules	13 protofilaments only	Actin microfilaments	C	<div><strong>Correct: C. 9+2 arranged parallel microtubules</strong></div><div>The axoneme of motile cilia and flagella has the classic <strong>9 peripheral doublets + 2 central microtubules</strong> arrangement.</div>	GENQUESTION CYTOLOGY Cytoskeleton
The spermiation is a process of releasing the spermatozoa from:	Leydig cells	Primary spermatocytes	Secondary spermatocytes	Sertoli cells	Basal lamina	D	<div><strong>Correct: D. Sertoli cells</strong></div><div>Spermiation is the release of mature spermatozoa from the apical surface of <strong>Sertoli cells</strong> into the lumen of seminiferous tubules.</div>	GENQUESTION HISTOLOGY Reproduction
Which layer of the trophoblast secretes hydrolytic enzymes to invade the endometrium:	Cytotrophoblast	Extraembryonic mesoderm	Syncytiotrophoblast	Hypoblast	Epiblast	C	<div><strong>Correct: C. Syncytiotrophoblast</strong></div><div>The syncytiotrophoblast invades the endometrium by secreting <strong>proteolytic (hydrolytic) enzymes</strong>.</div>	GENQUESTION EMBRYOLOGY Implantation
Match the organ on the left to the corresponding process that occurs in it:	Testis ⇒ spermatogenesis<br>Epididymis ⇒ maturing<br>Ductus deferens ⇒ transport of mature sperm cells	Testis ⇒ hormone secretion only<br>Epididymis ⇒ fertilization<br>Ductus deferens ⇒ storage	Testis ⇒ maturing<br>Epididymis ⇒ spermatogenesis<br>Ductus deferens ⇒ transport	Testis ⇒ transport<br>Epididymis ⇒ hormone secretion<br>Ductus deferens ⇒ fertilization	All answers are incorrect	A	<div><strong>Correct: A</strong></div><ul><li><strong>Testis</strong>: spermatogenesis</li><li><strong>Epididymis</strong>: sperm maturation</li><li><strong>Ductus deferens</strong>: transport of mature sperm</li></ul>	GENQUESTION HISTOLOGY Reproduction
The Leydig cells are found in:	Seminiferous tubules	Interstitial tissue between seminiferous tubules	Epididymis	Rete testis	Sertoli cell cytoplasm	B	<div><strong>Correct: B. Interstitial tissue between seminiferous tubules</strong></div><div>Leydig cells are endocrine cells producing <strong>testosterone</strong>, located in the interstitial space.</div>	GENQUESTION HISTOLOGY Reproduction
The process of transformation of spermatogonia in mature spermatozoa is called:	Spermiogenesis	Spermiation	Spermatocytogenesis	Spermatogenesis	Fertilization	D	<div><strong>Correct: D. Spermatogenesis</strong></div><div>Spermatogenesis includes all stages from spermatogonia to mature spermatozoa.</div>	GENQUESTION HISTOLOGY Reproduction
Match the terms on the left with the appropriate definitions from the drop list:	Plasma cell ⇒ antibody production	Plasma cell ⇒ phagocytosis	Plasma cell ⇒ collagen synthesis	Plasma cell ⇒ lipid storage	Plasma cell ⇒ detoxification	A	<div><strong>Correct: A. Plasma cell ⇒ antibody production</strong></div><div>Plasma cells are terminally differentiated B lymphocytes specialized in <strong>immunoglobulin secretion</strong>.</div>	GENQUESTION HISTOLOGY ImmuneSystem
permatogenesis includes:	Only mitotic divisions	Only meiotic divisions	Golgi phase, acrosome phase and maturation phase	Spermiation only	Oogenesis phases	C	<div><strong>Correct: C</strong></div><div>Spermiogenesis (part of spermatogenesis) includes the <strong>Golgi, acrosome, and maturation phases</strong>.</div>	GENQUESTION HISTOLOGY Reproduction
The axoneme is formed by:	Proximal centriole	Basal body	Distal centriole	Golgi apparatus	Microfilaments	C	<div><strong>Correct: C. Distal centriole</strong></div><div>The distal centriole gives rise to the <strong>axoneme</strong> of the flagellum.</div>	GENQUESTION CYTOLOGY Cytoskeleton
