Which component of the axon may contain Nissl's granulations?	The axonal hillock	The initial axonal segment	The axonal terminal	All of the listed	None of the listed	E	Nissl bodies (RER + ribosomes) are present in the soma and dendrites only. They are absent from the entire axon, including hillock, initial segment, and terminals.	CYTOLOGY SAMPLETEST
According to the shape of the secretory portion of the exocrine glands, they are classified as:	acinar	intraepithelial	mucous	serous	merocrine	A	Classification by shape refers to tubular, acinar (alveolar), or tubuloacinar glands. Other options describe location, secretion type, or secretion mechanism.	CYTOLOGY SAMPLETEST
Which of the following statements is NOT true regarding the adipose tissue?	It is important for the immunological defense of the organism	It has an important endocrine function	It contains unilocular or multilocular adipocytes	It has an important metabolic function	It can be located in the subcutis or around the internal organs	A	Adipose tissue has metabolic and endocrine roles but is not a primary immunological defense tissue.	CYTOLOGY SAMPLETEST
What is the normal percentage of the monocytes out of the circulating leukocytes in healthy adults?	5–8 %	60–70 %	1–2 %	30–40 %	2–4 %	A	Normal leukocyte differential: neutrophils 60–70 %, lymphocytes 20–40 %, monocytes 5–8 %, eosinophils 1–4 %, basophils <1 %.	CYTOLOGY SAMPLETEST
Macrophages in the tissues are derived from which of the following blood cells?	Monocyte	Neutrophilic granulocytes	Eosinophilic granulocytes	Basophilic granulocytes	NK-cells	A	Monocytes leave the bloodstream and differentiate into tissue macrophages as part of the mononuclear phagocyte system.	CYTOLOGY SAMPLETEST
The mesenchyme is an embryonic:	Connective tissue	Muscle tissue	Nerve tissue	Epithelial tissue	None of listed	A	Mesenchyme is embryonic connective tissue derived mainly from mesoderm and gives rise to connective tissues, bone, cartilage, and muscle.	CYTOLOGY SAMPLETEST
Which of the following glial cells participate in the movement of cerebrospinal fluid?	Ependymal cells	Protoplasmic astrocytes	Oligodendrocytes	Satellite cells	Protoplasmic astrocytes	A	Ependymal cells line the ventricles and possess motile cilia that circulate cerebrospinal fluid.	CYTOLOGY SAMPLETEST
All of the following answers are true EXCEPT: The glycocalyx is composed of:	Glycolipids	Glycoproteins	Proteins	Proteoglycans	Lipoproteins	E	The glycocalyx is a carbohydrate-rich cell coat made of glycoproteins, glycolipids, and proteoglycans. Lipoproteins are plasma transport particles, not structural membrane components.	CYTOLOGY SAMPLETEST
The diameter of actin filaments is approximately:	100–150 nm	10–11 nm	1–2 nm	6–8 nm	24–25 nm	D	Actin filaments (microfilaments) are the thinnest cytoskeletal elements, measuring about 6–8 nm in diameter.	CYTOLOGY SAMPLETEST
Identify the depicted organelle:	Smooth endoplasmic reticulum	Mitochondrion	Microtubule	Golgi complex		B	Mitochondria are identified by a double membrane and internal cristae seen on electron microscopy.	CYTOLOGY SAMPLETEST
A genetic defect in the motor protein dynein is linked to which disorder?	Down syndrome	Kartagener syndrome	Niemann–Pick disease	Gaucher syndrome	None of the answers is correct	B	Dynein defects impair ciliary motility, causing primary ciliary dyskinesia, classically Kartagener syndrome.	CYTOLOGY SAMPLETEST
Ribosomes attach to which organelle:	Rough ER	Smooth ER	Golgi complex	Plasma membrane	Mitochondria	A	Ribosomes bind to the cytosolic surface of rough ER during synthesis of secretory, membrane, and lysosomal proteins.	CYTOLOGY SAMPLETEST
What type of cell junction is the desmosome:	Cell–cell	Cell–matrix	Both cell–cell and cell–matrix	Neither cell–cell nor cell–matrix		A	Desmosomes (macula adherens) are strong cell–cell anchoring junctions connected to intermediate filaments.	CYTOLOGY SAMPLETEST
Which of the following statement IS TRUE? Chorionic villi form the fetal part of the placenta.	Chorionic villi form the fetal part of the placenta	Chorionic villi do not form the fetal part	Chorionic villi form the maternal part of the placenta	Chorionic villi form the entire placenta	All statements are true	A	The placenta consists of a fetal part (chorion frondosum with villi) and a maternal part (decidua basalis).	CYTOLOGY SAMPLETEST
From which component of the blastocyst can be isolated stem cells capable of organ regeneration in humans?	Trophoblast	Embryoblast	Blastocystic cavity	Blastomere	Gamete	B	Pluripotent embryonic stem cells are derived from the inner cell mass (embryoblast).	CYTOLOGY SAMPLETEST
In the beginning of the 3rd week the paraxial mesoderm differentiates into segments known as:	Somites (somitomeres)	Neuromeres	Mesonephroses	Metanephroses	Blood islands	A	Paraxial mesoderm segments into somites, which later form sclerotome, myotome, and dermatome.	CYTOLOGY SAMPLETEST
The number of oogonia at birth is approximately:	40,000	400,000	700,000–2,000,000	4,000,000	7,000,000	C	At birth, ovaries contain about 1 million primary oocytes arrested in prophase I.	CYTOLOGY SAMPLETEST
The second meiotic division of the female gametes is complete at:	Birth	1 year of life	Puberty	Fertilization	None of the answers is true	D	Meiosis II is completed only upon fertilization; otherwise the secondary oocyte degenerates.	CYTOLOGY SAMPLETEST
At the eighth day of development the hypoblast consists of:	Small cuboidal cells	High columnar cells	Multipolar cells	Pseudounipolar cells	Piriform cells	A	In the bilaminar disc, the hypoblast is composed of small cuboidal cells, while the epiblast is columnar.	CYTOLOGY SAMPLETEST
Trophoblastic overgrowth with lack of embryoblast development may lead to:	Asymptomatic abortion	Blastocytic tumor	Molar pregnancy (hydatidiform mole)	Amniotic agenesis	None of the answers is true	C	Excess trophoblast proliferation with absent embryo is characteristic of a hydatidiform mole.	CYTOLOGY SAMPLETEST
High number of nuclei →	Osteoclasts	Mast cells	Muscle cells	Macrophages	Osteocytes	A	Osteoclasts are large multinucleated cells responsible for bone resorption.	CYTOLOGY SAMPLETEST
Prominent RER →	Plasma cells	Mast cells	Adipocytes	Endothelial cells	Osteocytes	A	Plasma cells synthesize immunoglobulins and therefore contain abundant rough endoplasmic reticulum.	CYTOLOGY SAMPLETEST
Simple squamous →	Endothelial cells	Muscle cells	Osteoclasts	Macrophages	Fat cells	A	Endothelial cells line blood vessels and are simple squamous epithelial cells.	CYTOLOGY SAMPLETEST
Derive from monocytes →	Macrophages	Mast cells	Plasma cells	Osteocytes	Muscle cells	A	Macrophages differentiate from circulating monocytes.	CYTOLOGY SAMPLETEST
Contain myofilaments →	Muscle cells	Osteocytes	Plasma cells	Macrophages	Endothelial cells	A	Myofilaments (actin and myosin) are defining components of muscle cells.	CYTOLOGY SAMPLETEST
