Tall prismatic cells with oval nucleus, tight contact to basal lamina, and up to 300 microvilli on the apical surface correspond to which tissue?	Simple columnar resorptive epithelium	Simple columnar ciliated epithelium	Loose connective tissue	Endocrine glandular epithelium	Lymphoid (reticular) connective tissue	A	Simple columnar resorptive epithelium is defined by tall prismatic cells with dense apical microvilli forming a brush border, specialized for absorption.	CYTOLOGY HISTOLOGY EPITHELIUM SAMPLETEST
Elongated eosinophilic structural syncytia with clearly pronounced regular transverse striations and round peripherally located nuclei correspond to which tissue?	Transversely striated skeletal muscle tissue	Transversely striated cardiac muscle tissue	Loose connective tissue	Endocrine glandular epithelium	Lymphoid (reticular) connective tissue	A	Skeletal muscle fibers are long multinucleated syncytia with peripheral nuclei and regular cross-striations. Cardiac muscle has central nuclei and intercalated discs.	CYTOLOGY HISTOLOGY MUSCLE SAMPLETEST

Globular complexes with a central small lumen, composed of pyramidal cells with pronounced apical acidophilia and basal basophilia, correspond to which tissue?	Serous secretory divisions of an exocrine gland	Endocrine glandular epithelium	Simple columnar resorptive epithelium	Loose connective tissue	Lymphoid (reticular) connective tissue	A	Serous acini of exocrine glands show pyramidal cells, basal basophilia (RER) and apical acidophilic zymogen granules surrounding a small lumen.	CYTOLOGY HISTOLOGY GLANDS SAMPLETEST

Weakly contacting fixed and migrating cells with diverse morphology and abundant extracellular matrix rich in fine fibers correspond to which tissue?	Loose connective tissue	Lymphoid (reticular) connective tissue	Endocrine glandular epithelium	Simple columnar ciliated epithelium	Serous secretory divisions of an exocrine gland	A	Loose connective tissue is characterized by scattered cells, rich ground substance, and loosely arranged fibers allowing diffusion and cell migration.	CYTOLOGY HISTOLOGY CONNECTIVE SAMPLETEST

Complexes of polyhedral cells in close contact with each other within scarce extracellular matrix and without visible ducts or cavities correspond to which tissue?	Endocrine glandular epithelium	Serous secretory divisions of an exocrine gland	Loose connective tissue	Simple columnar resorptive epithelium	Lymphoid (reticular) connective tissue	A	Endocrine glands consist of tightly packed epithelial cells with no ducts, releasing hormones directly into capillaries.	CYTOLOGY HISTOLOGY GLANDS SAMPLETEST
Which one of the following statements is NOT true regarding the adipose tissue?	It is important for the immunological defense of the organism	It has an important endocrine function	It contains unilocular or multilocular adipocytes	It has an important metabolic function	It can be located in the subcutis or around the internal organs	A	Adipose tissue has metabolic, endocrine, and storage functions, but it is not a primary immunological defense tissue.	SAMPLETEST CYTOLOGY CONNECTIVE SAMPLETEST

Which component of the axon may contain Nissl's granulations?	The axonal hillock	The initial axonal segment	The axonal terminal	All of the listed	None of the listed	E	Nissl substance (RER) is present in the soma and dendrites, never in any part of the axon.	SAMPLETEST CYTOLOGY NERVOUS SAMPLETEST

Somatostatin is produced in the:	Hypothalamus	Neurohypophysis	Adenohypophysis	Basal ganglia	Hypophyseal infundibulum	A	Somatostatin is a hypothalamic inhibitory hormone regulating GH and TSH secretion.	SAMPLETEST ENDOCRINE EMBRYOLOGY SAMPLETEST

Which of the listed proteins is involved in the contraction of cardiomyocytes but not smooth muscle cells?	Troponin	Calmodulin	Actin	Myosin	Inositol-3-phosphate receptor	A	Troponin is present in striated muscle (cardiac, skeletal) but absent in smooth muscle.	SAMPLETEST CYTOLOGY MUSCLE SAMPLETEST

Which of the listed neurotransmitters are inhibitory?	GABA and Glycine	Glutamate and Aspartate	Glutamate and Glycine	Glutamate and Adrenaline	GABA and Adrenaline	A	GABA and glycine are the main inhibitory neurotransmitters in the CNS.	SAMPLETEST CYTOLOGY NERVOUS SAMPLETEST

Retrograde axonal transport is executed by the protein:	Dynein	Kinesin	Synaptophysin	Synaptotagmin	Myosin	A	Dynein mediates retrograde axonal transport toward the cell body.	SAMPLETEST CYTOLOGY NERVOUS SAMPLETEST

Which one of the following statements is NOT true regarding the loose connective tissue?	The cells are arranged in isogenous groups	It builds lamina propria of mucous membranes	It is the site of first contact between bacteria and immune system	Most of the cell types are temporary, migrating cells	It can increase substantially its volume during swelling	A	Isogenous groups are characteristic of cartilage, not loose connective tissue.	SAMPLETEST HISTOLOGY CONNECTIVE SAMPLETEST

Identify the depicted structures.	Myelinated nerve fibers	Secretory nerve endings	Myoneural junctions	Islets of endocrine epithelium	None of the listed	C	The image shows neuromuscular junctions between motor neurons and skeletal muscle fibers.	SAMPLETEST HISTOLOGY MUSCLE SAMPLETEST

Match the description: close cell apposition and presence at a free surface.	Epithelial tissue	Connective tissue	Muscle tissue	Nerve tissue	Blood	A	Epithelial tissue is characterized by tightly packed cells and a free surface.	SAMPLETEST HISTOLOGY EPITHELIUM SAMPLETEST

Which of the main functions of the plasma membrane is attributed to the lipid layer?	Link to the cytoskeleton	Maintenance of a barrier for water-soluble molecules	Specific binding of ligand molecules	Ion transport	Signal transduction	B	The phospholipid bilayer forms a hydrophobic barrier preventing free passage of polar molecules.	SAMPLETEST CYTOLOGY MEMBRANE

All listed organelles are bound by biomembranes, EXCEPT:	Ribosomes	Endoplasmic reticulum	Golgi complex	Mitochondria	Lysosomes	A	Ribosomes are non-membrane-bound ribonucleoprotein complexes.	SAMPLETEST CYTOLOGY ORGANELLES SAMPLETEST

Where else in the cell are localized the intermediate filaments, except in the cytosol?	Nucleus	Rough endoplasmic reticulum	Lysosomes	Peroxisomes	Golgi complex	A	Intermediate filaments form the nuclear lamina (lamins) inside the nucleus.	SAMPLETEST CYTOLOGY CYTOSKELETON SAMPLETEST

The diameter of actin filaments is approximately:	100–150 nm	10–11 nm	1–2 nm	6–8 nm	24–25 nm	D	Actin filaments (microfilaments) have a diameter of about 7 nm.	SAMPLETEST CYTOLOGY CYTOSKELETON SAMPLETEST

Down syndrome is an example of:	Autosomal trisomy	Autosomal monosomy	Gonosomal trisomy	Gonosomal monosomy	Congenital disease with infectious origin	A	Down syndrome is caused by trisomy 21, an autosomal chromosome abnormality.	SAMPLETEST GENETICS EMBRYOLOGY SAMPLETEST

The following structures are NOT derived from the endoderm:	Bones of pelvis	Muscles of anus	Heart and vessels	Nervous system	All answers are true	E	None of the listed structures originate from endoderm.	SAMPLETEST EMBRYOLOGY SAMPLETEST

The amniotic cavity appears within the:	Epiblast	Cytotrophoblast	Syncytiotrophoblast	Hypoblast	Notochord	A	The amniotic cavity forms within the epiblast during week 2 of development.	SAMPLETEST EMBRYOLOGY SAMPLETEST

From which germ layer develop the smooth muscle cells of internal organs?	Splanchnopleuric lateral plate mesoderm	Somatopleuric lateral plate mesoderm	Intermediate mesoderm	Paraxial mesoderm	Endoderm	A	Visceral smooth muscle originates from splanchnopleuric mesoderm.	SAMPLETEST EMBRYOLOGY SAMPLETEST

Which of the statements regarding the types of spermatogonia is NOT true?	Type A – stem cell	Type A dark – long-term reserve	Type A pale – mitotically active	Type B – progenitor generating spermatocytes	Type C – stem cell generating Sertoli cells	E	Sertoli cells are somatic cells and do not originate from spermatogonia.	SAMPLETEST HISTOLOGY REPRODUCTION SAMPLETEST

How long after ejaculation is the maximum fertile time for most sperm?	2 hours	4 hours	12 hours	48 hours	24 hours	B	Maximum fertility occurs after capacitation, usually around 4–6 hours.	SAMPLETEST REPRODUCTION EMBRYOLOGY SAMPLETEST

