Match the tissues on the left to the cells that form them:	Dentin ⇒ Odontoblasts	Dentin ⇒ Ameloblasts	Dentin ⇒ Osteoblasts	Dentin ⇒ Fibroblasts	Dentin ⇒ Chondrocytes	A	<div><strong>Correct: A. Dentin ⇒ Odontoblasts</strong></div><div>Dentin is produced by <strong>odontoblasts</strong>, which line the pulp cavity.</div>	GENQUESTION HISTOLOGY Tooth
The basic structural unit of the myofibril is:	Myosin filament	Actin filament	Sarcomere	Myofilament bundle	Z-disc	C	<div><strong>Correct: C. Sarcomere</strong></div><div>The sarcomere (Z-disc to Z-disc) is the <strong>functional and structural unit</strong> of a myofibril.</div>	GENQUESTION HISTOLOGY Muscle
Which is an example of a communicating junction?	Tight junction	Adherens junction	Desmosome	Gap junction	Hemidesmosome	D	<div><strong>Correct: D. Gap junction</strong></div><div>Communicating junctions are <strong>gap junctions</strong>, allowing direct ion and small molecule transfer between cells.</div>	GENQUESTION CYTOLOGY CellJunctions
Secretory vesicles are formed by detachment from:	Rough endoplasmic reticulum	Smooth endoplasmic reticulum	Cis Golgi network	Trans Golgi network	Lysosomes	D	<div><strong>Correct: D. Trans Golgi network</strong></div><div>The <strong>trans Golgi network</strong> sorts and packages proteins into secretory vesicles.</div>	GENQUESTION CYTOLOGY Golgi
The transitional epithelium is found at:	Stomach and intestines	Kidney, ureters, bladder, urethra	Trachea and bronchi	Blood vessels	Gallbladder	B	<div><strong>Correct: B</strong></div><div>Transitional epithelium (urothelium) lines the <strong>urinary tract</strong>, allowing distension.</div>	GENQUESTION HISTOLOGY Epithelium
The extramural glands are:	Glands embedded within the organ wall	Glands without ducts	Glands that secrete their products outside the walls of the organ	Endocrine glands only	Intraepithelial glands	C	<div><strong>Correct: C</strong></div><div>Extramural glands are located <strong>outside</strong> the organ wall and deliver secretion via ducts (e.g., major salivary glands).</div>	GENQUESTION HISTOLOGY Glands
Monozygous twins may have:	Separate placenta and chorion only	Separate amnion and placenta	Common amnion, placenta and chorion	Only common yolk sac	Only common chorion without placenta	C	<div><strong>Correct: C</strong></div><div>Depending on timing of division, monozygotic twins may share <strong>amnion, chorion, and placenta</strong>.</div>	GENQUESTION EMBRYOLOGY Twins
Mitochondria are:	Organelles with cristae on their outer membrane	Organelles without their own DNA	Double-membrane organelles with inner membrane forming cristae	Single-membrane vesicles for oxidation	Formed by the Golgi apparatus	C	<div><strong>Correct: C</strong></div><div>Mitochondria are <strong>double-membrane organelles</strong>; the <strong>inner membrane</strong> forms cristae and contains the respiratory chain.</div>	GENQUESTION CYTOLOGY Mitochondria
Which of the following answers is TRUE? Dystrophin in skeletal muscle cells binds:	Actin to myosin	Microtubules to intermediate filaments	Actin filaments to the plasmalemma	Z-discs to the sarcoplasmic reticulum	Myosin to the M-line	C	<div><strong>Correct: C</strong></div><div>Dystrophin links <strong>actin filaments</strong> to the <strong>plasmalemma</strong>, stabilizing muscle fibers.</div>	GENQUESTION HISTOLOGY Muscle
Which of the following answers is TRUE? The viscous external surface cover of the plasmalemma is called:	Basal lamina	Glycocalyx	Cell coat only in neurons	Pericellular matrix	Cell wall	B	<div><strong>Correct: B. Glycocalyx</strong></div><div>The <strong>glycocalyx</strong> is a carbohydrate-rich cell coat on the external surface of the plasma membrane.</div>	GENQUESTION CYTOLOGY CellSurface
