Which type of granulocytes is increased significantly in blood during parasitosis?	Neutrophils	Eosinophils	Basophils	Monocytes	Lymphocytes	B	<div><strong>Correct: B. Eosinophils</strong></div><div>Eosinophilia is characteristic for <strong>parasitic infections</strong> and allergic reactions.</div>	GENQUESTION HISTOLOGY Blood
Which protein is involved in maintaining the stability of the erythrocyte membrane?	Actin	Myosin	Spectrin	Keratin	Tubulin	C	<div><strong>Correct: C. Spectrin</strong></div><div>Spectrin forms a cytoskeletal network beneath the erythrocyte membrane, providing <strong>mechanical stability and flexibility</strong>.</div>	GENQUESTION HISTOLOGY Blood
Which of the listed neurotransmitters are excitatory?	Only GABA	Only glycine	ATP, acetylcholine, glutamate, catecholamines	Only serotonin	Only dopamine	C	<div><strong>Correct: C</strong></div><div>Excitatory neurotransmitters include <strong>acetylcholine, glutamate, ATP</strong> and catecholamines in many contexts.</div>	GENQUESTION HISTOLOGY NervousTissue
Which of the listed neurons typically have a pear-shaped (pyriform) body?	Purkinje cells	Martinotti cells	Pyramidal neurons	Bipolar neurons of retina	Multipolar motor neurons	A	<div><strong>Correct: A. Purkinje cells</strong></div><div>Purkinje neurons of the cerebellar cortex have a characteristic <strong>pyriform (pear-shaped)</strong> cell body.</div>	GENQUESTION HISTOLOGY NervousTissue
Which of the listed cells produces histamine?	Neutrophils	Eosinophils	Basophils and mast cells	Plasma cells	Macrophages	C	<div><strong>Correct: C. Basophils and mast cells</strong></div><div>Basophils and mast cells store and release <strong>histamine</strong> in inflammatory and allergic responses.</div>	GENQUESTION HISTOLOGY ImmuneSystem
Which of the following structures is highly specific for the platelets?	Large nucleus with prominent nucleoli	Irregular shape, no nucleus, 2–3 μm size	Abundant rough endoplasmic reticulum	Long cytoplasmic processes	Presence of cilia	B	<div><strong>Correct: B</strong></div><div>Platelets are <strong>anucleate</strong>, irregularly shaped cell fragments measuring about <strong>2–3 μm</strong>.</div>	GENQUESTION HISTOLOGY Blood
Which is the neurotransmitter of the neuromuscular junction?	Noradrenaline	Serotonin	Acetylcholine	Dopamine	Glycine	C	<div><strong>Correct: C. Acetylcholine</strong></div><div>Neuromuscular transmission uses <strong>acetylcholine</strong> acting on nicotinic receptors.</div>	GENQUESTION HISTOLOGY Muscle
Which cellular compartment contains the Nissl granules?	Nucleus	Mitochondria	Cytoplasm	Lysosomes	Golgi apparatus	C	<div><strong>Correct: C. Cytoplasm</strong></div><div>Nissl granules (rough ER) are located in the <strong>cytoplasm</strong> of neurons.</div>	GENQUESTION HISTOLOGY NervousTissue
Which cells are involved in humoral immunity?	T cells	B cells	NK cells	Macrophages only	Neutrophils	B	<div><strong>Correct: B. B cells</strong></div><div>Humoral immunity is mediated by <strong>B lymphocytes</strong> and their antibodies.</div>	GENQUESTION HISTOLOGY ImmuneSystem
Which cells are involved in cell-mediated immunity?	B lymphocytes	Plasma cells	Mature T-cells	Basophils	Eosinophils	C	<div><strong>Correct: C. Mature T-cells</strong></div><div>Cell-mediated immunity is mediated by <strong>T lymphocytes</strong>.</div>	GENQUESTION HISTOLOGY ImmuneSystem
